# 简名 → 完整包路径对照表（写 import 时查这个）
# 共 9331 个简名，同名类用 | 分隔

AABB	net.minecraft.world.phys.AABB
BrewingStandMenu$PotionSlot	net.minecraft.world.inventory.BrewingStandMenu$PotionSlot
BrewingStandScreen	net.minecraft.client.gui.screens.inventory.BrewingStandScreen
BrigadierExceptions	net.minecraft.commands.BrigadierExceptions
Brightness	net.minecraft.util.Brightness
BrightnessCombiner	net.minecraft.client.renderer.blockentity.BrightnessCombiner
Broken	net.minecraft.client.renderer.item.properties.conditional.Broken
BrushItem	net.minecraft.world.item.BrushItem
BrushItem$1	net.minecraft.world.item.BrushItem$1
BrushItem$DustParticlesDelta	net.minecraft.world.item.BrushItem$DustParticlesDelta
BrushableBlock	net.minecraft.world.level.block.BrushableBlock
BrushableBlockEntity	net.minecraft.world.level.block.entity.BrushableBlockEntity
BrushableBlockRenderState	net.minecraft.client.renderer.blockentity.state.BrushableBlockRenderState
BrushableBlockRenderer	net.minecraft.client.renderer.blockentity.BrushableBlockRenderer
BrushableBlockRenderer$1	net.minecraft.client.renderer.blockentity.BrushableBlockRenderer$1
BubbleColumnAmbientSoundHandler	net.minecraft.client.resources.sounds.BubbleColumnAmbientSoundHandler
BubbleColumnBlock	net.minecraft.world.level.block.BubbleColumnBlock
BubbleColumnUpParticle	net.minecraft.client.particle.BubbleColumnUpParticle
BubbleColumnUpParticle$Provider	net.minecraft.client.particle.BubbleColumnUpParticle$Provider
BubbleParticle	net.minecraft.client.particle.BubbleParticle
BubbleParticle$Provider	net.minecraft.client.particle.BubbleParticle$Provider
BubblePopParticle	net.minecraft.client.particle.BubblePopParticle
BubblePopParticle$Provider	net.minecraft.client.particle.BubblePopParticle$Provider
BucketItem	net.minecraft.world.item.BucketItem
BucketPickup	net.minecraft.world.level.block.BucketPickup
Bucketable	net.minecraft.world.entity.animal.Bucketable
BuddingAmethystBlock	net.minecraft.world.level.block.BuddingAmethystBlock
BuildContexts	net.minecraft.commands.execution.tasks.BuildContexts
BuildContexts$Continuation	net.minecraft.commands.execution.tasks.BuildContexts$Continuation
BuildContexts$TopLevel	net.minecraft.commands.execution.tasks.BuildContexts$TopLevel
BuildContexts$Unbound	net.minecraft.commands.execution.tasks.BuildContexts$Unbound
BuiltInLootTables	net.minecraft.world.level.storage.loot.BuiltInLootTables
BuiltInMetadata	net.minecraft.server.packs.BuiltInMetadata
BuiltInPackSource	net.minecraft.server.packs.repository.BuiltInPackSource
BuiltInPackSource$1	net.minecraft.server.packs.repository.BuiltInPackSource$1
BuiltInRegistries	net.minecraft.core.registries.BuiltInRegistries
BuiltInRegistries$RegistryBootstrap	net.minecraft.core.registries.BuiltInRegistries$RegistryBootstrap
BuiltinDimensionTypes	net.minecraft.world.level.dimension.BuiltinDimensionTypes
BuiltinStructureSets	net.minecraft.world.level.levelgen.structure.BuiltinStructureSets
BuiltinStructures	net.minecraft.world.level.levelgen.structure.BuiltinStructures
BuiltinTestFunctions	net.minecraft.gametest.framework.BuiltinTestFunctions
BulkSectionAccess	net.minecraft.world.level.chunk.BulkSectionAccess
BundleContents	net.minecraft.world.item.component.BundleContents
BundleContents$Mutable	net.minecraft.world.item.component.BundleContents$Mutable
BundleDelimiterPacket	net.minecraft.network.protocol.BundleDelimiterPacket
BundleFullness	net.minecraft.client.renderer.item.properties.numeric.BundleFullness
BundleHasSelectedItem	net.minecraft.client.renderer.item.properties.conditional.BundleHasSelectedItem
BundleItem	net.minecraft.world.item.BundleItem
BundleItem$1	net.minecraft.world.item.BundleItem$1
BundleMouseActions	net.minecraft.client.gui.BundleMouseActions
BundlePacket	net.minecraft.network.protocol.BundlePacket
BundlePredicate	net.minecraft.core.component.predicates.BundlePredicate
BundleSelectedItemSpecialRenderer	net.minecraft.client.renderer.item.BundleSelectedItemSpecialRenderer
BundleSelectedItemSpecialRenderer$Unbaked	net.minecraft.client.renderer.item.BundleSelectedItemSpecialRenderer$Unbaked
BundleTooltip	net.minecraft.world.inventory.tooltip.BundleTooltip
BundlerInfo	net.minecraft.network.protocol.BundlerInfo
BundlerInfo$1	net.minecraft.network.protocol.BundlerInfo$1
BundlerInfo$1$1	net.minecraft.network.protocol.BundlerInfo$1$1
BundlerInfo$Bundler	net.minecraft.network.protocol.BundlerInfo$Bundler
BuriedTreasurePieces	net.minecraft.world.level.levelgen.structure.structures.BuriedTreasurePieces
BuriedTreasurePieces$BuriedTreasurePiece	net.minecraft.world.level.levelgen.structure.structures.BuriedTreasurePieces$BuriedTreasurePiece
BuriedTreasureStructure	net.minecraft.world.level.levelgen.structure.structures.BuriedTreasureStructure
BushBlock	net.minecraft.world.level.block.BushBlock
BushFoliagePlacer	net.minecraft.world.level.levelgen.feature.foliageplacers.BushFoliagePlacer
Button	net.minecraft.client.gui.components.Button
Button$Builder	net.minecraft.client.gui.components.Button$Builder
Button$CreateNarration	net.minecraft.client.gui.components.Button$CreateNarration
Button$OnPress	net.minecraft.client.gui.components.Button$OnPress
Button$Plain	net.minecraft.client.gui.components.Button$Plain
ButtonBlock	net.minecraft.world.level.block.ButtonBlock
ButtonListDialog	net.minecraft.server.dialog.ButtonListDialog
ButtonListDialogScreen	net.minecraft.client.gui.screens.dialog.ButtonListDialogScreen
ByIdMap	net.minecraft.util.ByIdMap
ByIdMap$OutOfBoundsStrategy	net.minecraft.util.ByIdMap$OutOfBoundsStrategy
ByteArrayTag	net.minecraft.nbt.ByteArrayTag
ByteArrayTag$1	net.minecraft.nbt.ByteArrayTag$1
ByteBufCodecs	net.minecraft.network.codec.ByteBufCodecs
ByteBufCodecs$1	net.minecraft.network.codec.ByteBufCodecs$1
ByteBufCodecs$10	net.minecraft.network.codec.ByteBufCodecs$10
ByteBufCodecs$11	net.minecraft.network.codec.ByteBufCodecs$11
ByteBufCodecs$12	net.minecraft.network.codec.ByteBufCodecs$12
ByteBufCodecs$13	net.minecraft.network.codec.ByteBufCodecs$13
ByteBufCodecs$14	net.minecraft.network.codec.ByteBufCodecs$14
ByteBufCodecs$15	net.minecraft.network.codec.ByteBufCodecs$15
ByteBufCodecs$16	net.minecraft.network.codec.ByteBufCodecs$16
ByteBufCodecs$17	net.minecraft.network.codec.ByteBufCodecs$17
ByteBufCodecs$18	net.minecraft.network.codec.ByteBufCodecs$18
ByteBufCodecs$19	net.minecraft.network.codec.ByteBufCodecs$19
ByteBufCodecs$2	net.minecraft.network.codec.ByteBufCodecs$2
ByteBufCodecs$20	net.minecraft.network.codec.ByteBufCodecs$20
ByteBufCodecs$21	net.minecraft.network.codec.ByteBufCodecs$21
ByteBufCodecs$22	net.minecraft.network.codec.ByteBufCodecs$22
ByteBufCodecs$23	net.minecraft.network.codec.ByteBufCodecs$23
ByteBufCodecs$24	net.minecraft.network.codec.ByteBufCodecs$24
ByteBufCodecs$25	net.minecraft.network.codec.ByteBufCodecs$25
ByteBufCodecs$26	net.minecraft.network.codec.ByteBufCodecs$26
ByteBufCodecs$27	net.minecraft.network.codec.ByteBufCodecs$27
ByteBufCodecs$28	net.minecraft.network.codec.ByteBufCodecs$28
ByteBufCodecs$29	net.minecraft.network.codec.ByteBufCodecs$29
ByteBufCodecs$3	net.minecraft.network.codec.ByteBufCodecs$3
ByteBufCodecs$30	net.minecraft.network.codec.ByteBufCodecs$30
ByteBufCodecs$31	net.minecraft.network.codec.ByteBufCodecs$31
ByteBufCodecs$32	net.minecraft.network.codec.ByteBufCodecs$32
ByteBufCodecs$33	net.minecraft.network.codec.ByteBufCodecs$33
ByteBufCodecs$34	net.minecraft.network.codec.ByteBufCodecs$34
ByteBufCodecs$35	net.minecraft.network.codec.ByteBufCodecs$35
ByteBufCodecs$4	net.minecraft.network.codec.ByteBufCodecs$4
ByteBufCodecs$5	net.minecraft.network.codec.ByteBufCodecs$5
ByteBufCodecs$6	net.minecraft.network.codec.ByteBufCodecs$6
ByteBufCodecs$7	net.minecraft.network.codec.ByteBufCodecs$7
ByteBufCodecs$8	net.minecraft.network.codec.ByteBufCodecs$8
ByteBufCodecs$9	net.minecraft.network.codec.ByteBufCodecs$9
ByteTag	net.minecraft.nbt.ByteTag
ByteTag$1	net.minecraft.nbt.ByteTag$1
ByteTag$Cache	net.minecraft.nbt.ByteTag$Cache
CacheSlot	net.minecraft.client.multiplayer.CacheSlot
CacheSlot$Cleaner	net.minecraft.client.multiplayer.CacheSlot$Cleaner
CacheableFunction	net.minecraft.commands.CacheableFunction
CachedOrthoProjectionMatrixBuffer	net.minecraft.client.renderer.CachedOrthoProjectionMatrixBuffer
CachedOutput	net.minecraft.data.CachedOutput
CachedParseState	net.minecraft.util.parsing.packrat.CachedParseState
CachedParseState$CacheEntry	net.minecraft.util.parsing.packrat.CachedParseState$CacheEntry
CachedParseState$PositionCache	net.minecraft.util.parsing.packrat.CachedParseState$PositionCache
CachedParseState$Silent	net.minecraft.util.parsing.packrat.CachedParseState$Silent
CachedParseState$SimpleControl	net.minecraft.util.parsing.packrat.CachedParseState$SimpleControl
CachedPerspectiveProjectionMatrixBuffer	net.minecraft.client.renderer.CachedPerspectiveProjectionMatrixBuffer
CachedUserNameToIdResolver	net.minecraft.server.players.CachedUserNameToIdResolver
CachedUserNameToIdResolver$GameProfileInfo	net.minecraft.server.players.CachedUserNameToIdResolver$GameProfileInfo
CactusBlock	net.minecraft.world.level.block.CactusBlock
CactusFlowerBlock	net.minecraft.world.level.block.CactusFlowerBlock
CakeBlock	net.minecraft.world.level.block.CakeBlock
CalibratedSculkSensorBlock	net.minecraft.world.level.block.CalibratedSculkSensorBlock
CalibratedSculkSensorBlockEntity	net.minecraft.world.level.block.entity.CalibratedSculkSensorBlockEntity
CalibratedSculkSensorBlockEntity$VibrationUser	net.minecraft.world.level.block.entity.CalibratedSculkSensorBlockEntity$VibrationUser
CallFunction	net.minecraft.commands.execution.tasks.CallFunction
Camel	net.minecraft.world.entity.animal.camel.Camel
Camel$CamelBodyRotationControl	net.minecraft.world.entity.animal.camel.Camel$CamelBodyRotationControl
Camel$CamelLookControl	net.minecraft.world.entity.animal.camel.Camel$CamelLookControl
Camel$CamelMoveControl	net.minecraft.world.entity.animal.camel.Camel$CamelMoveControl
CamelAi	net.minecraft.world.entity.animal.camel.CamelAi
CamelAi$CamelPanic	net.minecraft.world.entity.animal.camel.CamelAi$CamelPanic
CamelAi$RandomSitting	net.minecraft.world.entity.animal.camel.CamelAi$RandomSitting
CamelAnimation	net.minecraft.client.animation.definitions.CamelAnimation
CamelHusk	net.minecraft.world.entity.animal.camel.CamelHusk
CamelHuskRenderer	net.minecraft.client.renderer.entity.CamelHuskRenderer
CamelModel	net.minecraft.client.model.animal.camel.CamelModel
CamelRenderState	net.minecraft.client.renderer.entity.state.CamelRenderState
CamelRenderer	net.minecraft.client.renderer.entity.CamelRenderer
CamelSaddleModel	net.minecraft.client.model.animal.camel.CamelSaddleModel
Camera	net.minecraft.client.Camera
Camera$NearPlane	net.minecraft.client.Camera$NearPlane
CameraRenderState	net.minecraft.client.renderer.state.CameraRenderState
CameraType	net.minecraft.client.CameraType
CampfireBlock	net.minecraft.world.level.block.CampfireBlock
CampfireBlockEntity	net.minecraft.world.level.block.entity.CampfireBlockEntity
CampfireCookingRecipe	net.minecraft.world.item.crafting.CampfireCookingRecipe
CampfireRenderState	net.minecraft.client.renderer.blockentity.state.CampfireRenderState
CampfireRenderer	net.minecraft.client.renderer.blockentity.CampfireRenderer
CampfireSmokeParticle	net.minecraft.client.particle.CampfireSmokeParticle
CampfireSmokeParticle$CosyProvider	net.minecraft.client.particle.CampfireSmokeParticle$CosyProvider
CampfireSmokeParticle$SignalProvider	net.minecraft.client.particle.CampfireSmokeParticle$SignalProvider
CandleBlock	net.minecraft.world.level.block.CandleBlock
CandleCakeBlock	net.minecraft.world.level.block.CandleCakeBlock
CanyonCarverConfiguration	net.minecraft.world.level.levelgen.carver.CanyonCarverConfiguration
CanyonCarverConfiguration$CanyonShapeConfiguration	net.minecraft.world.level.levelgen.carver.CanyonCarverConfiguration$CanyonShapeConfiguration
CanyonWorldCarver	net.minecraft.world.level.levelgen.carver.CanyonWorldCarver
CapeLayer	net.minecraft.client.renderer.entity.layers.CapeLayer
CappedProcessor	net.minecraft.world.level.levelgen.structure.templatesystem.CappedProcessor
CarpetBlock	net.minecraft.world.level.block.CarpetBlock
CarriedBlockLayer	net.minecraft.client.renderer.entity.layers.CarriedBlockLayer
CarrotBlock	net.minecraft.world.level.block.CarrotBlock
CartographyTableBlock	net.minecraft.world.level.block.CartographyTableBlock
CartographyTableMenu	net.minecraft.world.inventory.CartographyTableMenu
CartographyTableMenu$1	net.minecraft.world.inventory.CartographyTableMenu$1
CartographyTableMenu$2	net.minecraft.world.inventory.CartographyTableMenu$2
CartographyTableMenu$3	net.minecraft.world.inventory.CartographyTableMenu$3
CartographyTableMenu$4	net.minecraft.world.inventory.CartographyTableMenu$4
CartographyTableMenu$5	net.minecraft.world.inventory.CartographyTableMenu$5
CartographyTableScreen	net.minecraft.client.gui.screens.inventory.CartographyTableScreen
CarvedPumpkinBlock	net.minecraft.world.level.block.CarvedPumpkinBlock
CarverConfiguration	net.minecraft.world.level.levelgen.carver.CarverConfiguration
CarverDebugSettings	net.minecraft.world.level.levelgen.carver.CarverDebugSettings
Carvers	net.minecraft.data.worldgen.Carvers
CarvingContext	net.minecraft.world.level.levelgen.carver.CarvingContext
CarvingMask	net.minecraft.world.level.chunk.CarvingMask
CarvingMask$Mask	net.minecraft.world.level.chunk.CarvingMask$Mask
CarvingStepRemoveFix	net.minecraft.util.datafix.fixes.CarvingStepRemoveFix
Cat	net.minecraft.world.entity.animal.feline.Cat
Cat$CatAvoidEntityGoal	net.minecraft.world.entity.animal.feline.Cat$CatAvoidEntityGoal
Cat$CatRelaxOnOwnerGoal	net.minecraft.world.entity.animal.feline.Cat$CatRelaxOnOwnerGoal
Cat$CatTemptGoal	net.minecraft.world.entity.animal.feline.Cat$CatTemptGoal
CatCollarLayer	net.minecraft.client.renderer.entity.layers.CatCollarLayer
CatLieOnBedGoal	net.minecraft.world.entity.ai.goal.CatLieOnBedGoal
CatModel	net.minecraft.client.model.animal.feline.CatModel
CatRenderState	net.minecraft.client.renderer.entity.state.CatRenderState
CatRenderer	net.minecraft.client.renderer.entity.CatRenderer
CatSitOnBlockGoal	net.minecraft.world.entity.ai.goal.CatSitOnBlockGoal
CatSpawner	net.minecraft.world.entity.npc.CatSpawner
CatTypeFix	net.minecraft.util.datafix.fixes.CatTypeFix
CatVariant	net.minecraft.world.entity.animal.feline.CatVariant
CatVariants	net.minecraft.world.entity.animal.feline.CatVariants
CauldronBlock	net.minecraft.world.level.block.CauldronBlock
CauldronInteraction	net.minecraft.core.cauldron.CauldronInteraction
CauldronInteraction$InteractionMap	net.minecraft.core.cauldron.CauldronInteraction$InteractionMap
CauldronRenameFix	net.minecraft.util.datafix.fixes.CauldronRenameFix
CaveCarverConfiguration	net.minecraft.world.level.levelgen.carver.CaveCarverConfiguration
CaveFeatures	net.minecraft.data.worldgen.features.CaveFeatures
CavePlacements	net.minecraft.data.worldgen.placement.CavePlacements
CaveSpider	net.minecraft.world.entity.monster.spider.CaveSpider
CaveSpiderRenderer	net.minecraft.client.renderer.entity.CaveSpiderRenderer
CaveSurface	net.minecraft.world.level.levelgen.placement.CaveSurface
CaveVines	net.minecraft.world.level.block.CaveVines
CaveVinesBlock	net.minecraft.world.level.block.CaveVinesBlock
CaveVinesPlantBlock	net.minecraft.world.level.block.CaveVinesPlantBlock
CaveWorldCarver	net.minecraft.world.level.levelgen.carver.CaveWorldCarver
CavesAndCliffsRenames	net.minecraft.util.datafix.fixes.CavesAndCliffsRenames
CeilingHangingSignBlock	net.minecraft.world.level.block.CeilingHangingSignBlock
CelebrateVillagersSurvivedRaid	net.minecraft.world.entity.ai.behavior.CelebrateVillagersSurvivedRaid
ChainBlock	net.minecraft.world.level.block.ChainBlock
ChainModifiers	net.minecraft.commands.execution.ChainModifiers
ChainedJsonException	net.minecraft.server.ChainedJsonException
ChainedJsonException$Entry	net.minecraft.server.ChainedJsonException$Entry
ChangeDimensionTrigger	net.minecraft.advancements.criterion.ChangeDimensionTrigger
ChangeDimensionTrigger$TriggerInstance	net.minecraft.advancements.criterion.ChangeDimensionTrigger$TriggerInstance
ChangeItemDamage	net.minecraft.world.item.enchantment.effects.ChangeItemDamage
ChangeOverTimeBlock	net.minecraft.world.level.block.ChangeOverTimeBlock
ChannelAccess	net.minecraft.client.sounds.ChannelAccess
ChannelAccess$ChannelHandle	net.minecraft.client.sounds.ChannelAccess$ChannelHandle
ChanneledLightningTrigger	net.minecraft.advancements.criterion.ChanneledLightningTrigger
ChanneledLightningTrigger$TriggerInstance	net.minecraft.advancements.criterion.ChanneledLightningTrigger$TriggerInstance
CharPredicate	net.minecraft.CharPredicate
CharacterEvent	net.minecraft.client.input.CharacterEvent
Charge	net.minecraft.client.renderer.item.properties.select.Charge
ChargeAttack	net.minecraft.world.entity.ai.behavior.ChargeAttack
ChargedProjectiles	net.minecraft.world.item.component.ChargedProjectiles
ChaseClient	net.minecraft.server.chase.ChaseClient
ChaseClient$TeleportTarget	net.minecraft.server.chase.ChaseClient$TeleportTarget
ChaseCommand	net.minecraft.server.commands.ChaseCommand
ChaseServer	net.minecraft.server.chase.ChaseServer
ChaseServer$PlayerPosition	net.minecraft.server.chase.ChaseServer$PlayerPosition
ChatComponent	net.minecraft.client.gui.components.ChatComponent
ChatComponent$1	net.minecraft.client.gui.components.ChatComponent$1
ChatComponent$AlphaCalculator	net.minecraft.client.gui.components.ChatComponent$AlphaCalculator
ChatComponent$ChatGraphicsAccess	net.minecraft.client.gui.components.ChatComponent$ChatGraphicsAccess
ChatComponent$ChatMethod	net.minecraft.client.gui.components.ChatComponent$ChatMethod
ChatComponent$ChatMethod$1	net.minecraft.client.gui.components.ChatComponent$ChatMethod$1
ChatComponent$ChatMethod$2	net.minecraft.client.gui.components.ChatComponent$ChatMethod$2
ChatComponent$ClickableTextOnlyGraphicsAccess	net.minecraft.client.gui.components.ChatComponent$ClickableTextOnlyGraphicsAccess
ChatComponent$DelayedMessageDeletion	net.minecraft.client.gui.components.ChatComponent$DelayedMessageDeletion
ChatComponent$Draft	net.minecraft.client.gui.components.ChatComponent$Draft
ChatComponent$DrawingBackgroundGraphicsAccess	net.minecraft.client.gui.components.ChatComponent$DrawingBackgroundGraphicsAccess
ChatComponent$DrawingFocusedGraphicsAccess	net.minecraft.client.gui.components.ChatComponent$DrawingFocusedGraphicsAccess
ChatComponent$LineConsumer	net.minecraft.client.gui.components.ChatComponent$LineConsumer
ChatComponent$State	net.minecraft.client.gui.components.ChatComponent$State
ChatDecorator	net.minecraft.network.chat.ChatDecorator
ChatFormatting	net.minecraft.ChatFormatting
ChatListener	net.minecraft.client.multiplayer.chat.ChatListener
ChatListener$Message	net.minecraft.client.multiplayer.chat.ChatListener$Message
ChatLog	net.minecraft.client.multiplayer.chat.ChatLog
ChatOptionsScreen	net.minecraft.client.gui.screens.options.ChatOptionsScreen
ChatReport	net.minecraft.client.multiplayer.chat.report.ChatReport
ChatReport$Builder	net.minecraft.client.multiplayer.chat.report.ChatReport$Builder
ChatReportContextBuilder	net.minecraft.client.multiplayer.chat.report.ChatReportContextBuilder
ChatReportContextBuilder$Collector	net.minecraft.client.multiplayer.chat.report.ChatReportContextBuilder$Collector
ChatReportContextBuilder$Handler	net.minecraft.client.multiplayer.chat.report.ChatReportContextBuilder$Handler
ChatReportScreen	net.minecraft.client.gui.screens.reporting.ChatReportScreen
ChatScreen	net.minecraft.client.gui.screens.ChatScreen
ChatScreen$1	net.minecraft.client.gui.screens.ChatScreen$1
ChatScreen$ChatConstructor	net.minecraft.client.gui.screens.ChatScreen$ChatConstructor
ChatScreen$ExitReason	net.minecraft.client.gui.screens.ChatScreen$ExitReason
ChatSelectionLogFiller	net.minecraft.client.gui.screens.reporting.ChatSelectionLogFiller
ChatSelectionLogFiller$Output	net.minecraft.client.gui.screens.reporting.ChatSelectionLogFiller$Output
ChatSelectionScreen	net.minecraft.client.gui.screens.reporting.ChatSelectionScreen
ChatSelectionScreen$ChatSelectionList	net.minecraft.client.gui.screens.reporting.ChatSelectionScreen$ChatSelectionList
ChatSelectionScreen$ChatSelectionList$DividerEntry	net.minecraft.client.gui.screens.reporting.ChatSelectionScreen$ChatSelectionList$DividerEntry
ChatSelectionScreen$ChatSelectionList$Entry	net.minecraft.client.gui.screens.reporting.ChatSelectionScreen$ChatSelectionList$Entry
ChatSelectionScreen$ChatSelectionList$Heading	net.minecraft.client.gui.screens.reporting.ChatSelectionScreen$ChatSelectionList$Heading
ChatSelectionScreen$ChatSelectionList$MessageEntry	net.minecraft.client.gui.screens.reporting.ChatSelectionScreen$ChatSelectionList$MessageEntry
ChatSelectionScreen$ChatSelectionList$MessageHeadingEntry	net.minecraft.client.gui.screens.reporting.ChatSelectionScreen$ChatSelectionList$MessageHeadingEntry
ChatSelectionScreen$ChatSelectionList$PaddingEntry	net.minecraft.client.gui.screens.reporting.ChatSelectionScreen$ChatSelectionList$PaddingEntry
ChatTrustLevel	net.minecraft.client.multiplayer.chat.ChatTrustLevel
ChatType	net.minecraft.network.chat.ChatType
ChatType$Bound	net.minecraft.network.chat.ChatType$Bound
ChatTypeDecoration	net.minecraft.network.chat.ChatTypeDecoration
ChatTypeDecoration$Parameter	net.minecraft.network.chat.ChatTypeDecoration$Parameter
ChatTypeDecoration$Parameter$Selector	net.minecraft.network.chat.ChatTypeDecoration$Parameter$Selector
ChatVisiblity	net.minecraft.world.entity.player.ChatVisiblity
Checkbox	net.minecraft.client.gui.components.Checkbox
Checkbox$Builder	net.minecraft.client.gui.components.Checkbox$Builder
Checkbox$OnValueChange	net.minecraft.client.gui.components.Checkbox$OnValueChange
CheckerboardColumnBiomeSource	net.minecraft.world.level.biome.CheckerboardColumnBiomeSource
CherryFoliagePlacer	net.minecraft.world.level.levelgen.feature.foliageplacers.CherryFoliagePlacer
CherryTrunkPlacer	net.minecraft.world.level.levelgen.feature.trunkplacers.CherryTrunkPlacer
ChestBlock	net.minecraft.world.level.block.ChestBlock
ChestBlock$1	net.minecraft.world.level.block.ChestBlock$1
ChestBlock$2	net.minecraft.world.level.block.ChestBlock$2
ChestBlock$2$1	net.minecraft.world.level.block.ChestBlock$2$1
ChestBlock$3	net.minecraft.world.level.block.ChestBlock$3
ChestBlock$4	net.minecraft.world.level.block.ChestBlock$4
ChestBlockEntity	net.minecraft.world.level.block.entity.ChestBlockEntity
ChestBlockEntity$1	net.minecraft.world.level.block.entity.ChestBlockEntity$1
ChestBoat	net.minecraft.world.entity.vehicle.boat.ChestBoat
ChestLidController	net.minecraft.world.level.block.entity.ChestLidController
ChestMenu	net.minecraft.world.inventory.ChestMenu
ChestModel	net.minecraft.client.model.object.chest.ChestModel
ChestRaft	net.minecraft.world.entity.vehicle.boat.ChestRaft
ChestRenderState	net.minecraft.client.renderer.blockentity.state.ChestRenderState
ChestRenderState$ChestMaterialType	net.minecraft.client.renderer.blockentity.state.ChestRenderState$ChestMaterialType
ChestRenderer	net.minecraft.client.renderer.blockentity.ChestRenderer
ChestRenderer$1	net.minecraft.client.renderer.blockentity.ChestRenderer$1
ChestSpecialRenderer	net.minecraft.client.renderer.special.ChestSpecialRenderer
ChestSpecialRenderer$Unbaked	net.minecraft.client.renderer.special.ChestSpecialRenderer$Unbaked
ChestType	net.minecraft.world.level.block.state.properties.ChestType
ChestedHorsesInventoryZeroIndexingFix	net.minecraft.util.datafix.fixes.ChestedHorsesInventoryZeroIndexingFix
Chicken	net.minecraft.world.entity.animal.chicken.Chicken
ChickenModel	net.minecraft.client.model.animal.chicken.ChickenModel
ChickenRenderState	net.minecraft.client.renderer.entity.state.ChickenRenderState
ChickenRenderer	net.minecraft.client.renderer.entity.ChickenRenderer
ChickenVariant	net.minecraft.world.entity.animal.chicken.ChickenVariant
ChickenVariant$ModelType	net.minecraft.world.entity.animal.chicken.ChickenVariant$ModelType
ChickenVariants	net.minecraft.world.entity.animal.chicken.ChickenVariants
ChiseledBookShelfBlock	net.minecraft.world.level.block.ChiseledBookShelfBlock
ChiseledBookShelfBlockEntity	net.minecraft.world.level.block.entity.ChiseledBookShelfBlockEntity
ChorusFlowerBlock	net.minecraft.world.level.block.ChorusFlowerBlock
ChorusPlantBlock	net.minecraft.world.level.block.ChorusPlantBlock
ChorusPlantFeature	net.minecraft.world.level.levelgen.feature.ChorusPlantFeature
ChunkAccess	net.minecraft.world.level.chunk.ChunkAccess
ChunkAccess$ChunkPathElement	net.minecraft.world.level.chunk.ChunkAccess$ChunkPathElement
ChunkAccess$PackedTicks	net.minecraft.world.level.chunk.ChunkAccess$PackedTicks
ChunkBatchSizeCalculator	net.minecraft.client.multiplayer.ChunkBatchSizeCalculator
ChunkBedBlockEntityInjecterFix	net.minecraft.util.datafix.fixes.ChunkBedBlockEntityInjecterFix
ChunkBiomeFix	net.minecraft.util.datafix.fixes.ChunkBiomeFix
ChunkBorderRenderer	net.minecraft.client.renderer.debug.ChunkBorderRenderer
ChunkCullingDebugRenderer	net.minecraft.client.renderer.debug.ChunkCullingDebugRenderer
ChunkDebugRenderer	net.minecraft.client.renderer.debug.ChunkDebugRenderer
ChunkDebugRenderer$ChunkData	net.minecraft.client.renderer.debug.ChunkDebugRenderer$ChunkData
ChunkDeleteIgnoredLightDataFix	net.minecraft.util.datafix.fixes.ChunkDeleteIgnoredLightDataFix
ChunkDeleteLightFix	net.minecraft.util.datafix.fixes.ChunkDeleteLightFix
ChunkDependencies	net.minecraft.world.level.chunk.status.ChunkDependencies
ChunkEntities	net.minecraft.world.level.entity.ChunkEntities
ChunkGenStat	net.minecraft.util.profiling.jfr.stats.ChunkGenStat
ChunkGenerationEvent	net.minecraft.util.profiling.jfr.event.ChunkGenerationEvent
ChunkGenerationEvent$Fields	net.minecraft.util.profiling.jfr.event.ChunkGenerationEvent$Fields
ChunkGenerationTask	net.minecraft.server.level.ChunkGenerationTask
ChunkGenerator	net.minecraft.world.level.chunk.ChunkGenerator
ChunkGeneratorStructureState	net.minecraft.world.level.chunk.ChunkGeneratorStructureState
ChunkGenerators	net.minecraft.world.level.chunk.ChunkGenerators
ChunkHeightAndBiomeFix	net.minecraft.util.datafix.fixes.ChunkHeightAndBiomeFix
ChunkHolder	net.minecraft.server.level.ChunkHolder
ChunkHolder$LevelChangeListener	net.minecraft.server.level.ChunkHolder$LevelChangeListener
ChunkHolder$PlayerProvider	net.minecraft.server.level.ChunkHolder$PlayerProvider
ChunkIOErrorReporter	net.minecraft.world.level.chunk.storage.ChunkIOErrorReporter
ChunkIdentification	net.minecraft.util.profiling.jfr.stats.ChunkIdentification
ChunkLevel	net.minecraft.server.level.ChunkLevel
ChunkLevel$1	net.minecraft.server.level.ChunkLevel$1
ChunkLightRemoveFix	net.minecraft.util.datafix.fixes.ChunkLightRemoveFix
ChunkLoadCounter	net.minecraft.server.level.ChunkLoadCounter
ChunkLoadStatusView	net.minecraft.server.level.progress.ChunkLoadStatusView
ChunkMap	net.minecraft.server.level.ChunkMap
ChunkMap$DistanceManager	net.minecraft.server.level.ChunkMap$DistanceManager
ChunkMap$TrackedEntity	net.minecraft.server.level.ChunkMap$TrackedEntity
ChunkPalettedStorageFix	net.minecraft.util.datafix.fixes.ChunkPalettedStorageFix
ChunkPalettedStorageFix$DataLayer	net.minecraft.util.datafix.fixes.ChunkPalettedStorageFix$DataLayer
ChunkPalettedStorageFix$Direction	net.minecraft.util.datafix.fixes.ChunkPalettedStorageFix$Direction
ChunkPalettedStorageFix$Direction$Axis	net.minecraft.util.datafix.fixes.ChunkPalettedStorageFix$Direction$Axis
