# 简名 → 完整包路径对照表（写 import 时查这个）
# 共 9331 个简名，同名类用 | 分隔

AABB	net.minecraft.world.phys.AABB
AbstractPiglin	net.minecraft.world.entity.monster.piglin.AbstractPiglin
AbstractPiglinModel	net.minecraft.client.model.monster.piglin.AbstractPiglinModel
AbstractPoiSectionFix	net.minecraft.util.datafix.fixes.AbstractPoiSectionFix
AbstractRecipeBookScreen	net.minecraft.client.gui.screens.inventory.AbstractRecipeBookScreen
AbstractReportScreen	net.minecraft.client.gui.screens.reporting.AbstractReportScreen
AbstractReportScreen$DiscardReportWarningScreen	net.minecraft.client.gui.screens.reporting.AbstractReportScreen$DiscardReportWarningScreen
AbstractSampleLogger	net.minecraft.util.debugchart.AbstractSampleLogger
AbstractSchoolingFish	net.minecraft.world.entity.animal.fish.AbstractSchoolingFish
AbstractSchoolingFish$SchoolSpawnGroupData	net.minecraft.world.entity.animal.fish.AbstractSchoolingFish$SchoolSpawnGroupData
AbstractScrollArea	net.minecraft.client.gui.components.AbstractScrollArea
AbstractSelectionList	net.minecraft.client.gui.components.AbstractSelectionList
AbstractSelectionList$1	net.minecraft.client.gui.components.AbstractSelectionList$1
AbstractSelectionList$Entry	net.minecraft.client.gui.components.AbstractSelectionList$Entry
AbstractSelectionList$TrackedList	net.minecraft.client.gui.components.AbstractSelectionList$TrackedList
AbstractSignEditScreen	net.minecraft.client.gui.screens.inventory.AbstractSignEditScreen
AbstractSignRenderer	net.minecraft.client.renderer.blockentity.AbstractSignRenderer
AbstractSkeleton	net.minecraft.world.entity.monster.skeleton.AbstractSkeleton
AbstractSkeleton$1	net.minecraft.world.entity.monster.skeleton.AbstractSkeleton$1
AbstractSkeletonRenderer	net.minecraft.client.renderer.entity.AbstractSkeletonRenderer
AbstractSkullBlock	net.minecraft.world.level.block.AbstractSkullBlock
AbstractSliderButton	net.minecraft.client.gui.components.AbstractSliderButton
AbstractSoundInstance	net.minecraft.client.resources.sounds.AbstractSoundInstance
AbstractStringWidget	net.minecraft.client.gui.components.AbstractStringWidget
AbstractTextAreaWidget	net.minecraft.client.gui.components.AbstractTextAreaWidget
AbstractTexture	net.minecraft.client.renderer.texture.AbstractTexture
AbstractThrownPotion	net.minecraft.world.entity.projectile.throwableitemprojectile.AbstractThrownPotion
AbstractTickableSoundInstance	net.minecraft.client.resources.sounds.AbstractTickableSoundInstance
AbstractUUIDFix	net.minecraft.util.datafix.fixes.AbstractUUIDFix
AbstractVillager	net.minecraft.world.entity.npc.villager.AbstractVillager
AbstractWidget	net.minecraft.client.gui.components.AbstractWidget
AbstractWidget$WithInactiveMessage	net.minecraft.client.gui.components.AbstractWidget$WithInactiveMessage
AbstractWindCharge	net.minecraft.world.entity.projectile.hurtingprojectile.windcharge.AbstractWindCharge
AbstractZombieModel	net.minecraft.client.model.monster.zombie.AbstractZombieModel
AbstractZombieRenderer	net.minecraft.client.renderer.entity.AbstractZombieRenderer
AbuseReportSender	net.minecraft.client.multiplayer.chat.report.AbuseReportSender
AbuseReportSender$1	net.minecraft.client.multiplayer.chat.report.AbuseReportSender$1
AbuseReportSender$SendException	net.minecraft.client.multiplayer.chat.report.AbuseReportSender$SendException
AbuseReportSender$Services	net.minecraft.client.multiplayer.chat.report.AbuseReportSender$Services
AcaciaFoliagePlacer	net.minecraft.world.level.levelgen.feature.foliageplacers.AcaciaFoliagePlacer
AccessibilityOnboardingScreen	net.minecraft.client.gui.screens.AccessibilityOnboardingScreen
AccessibilityOptionsScreen	net.minecraft.client.gui.screens.options.AccessibilityOptionsScreen
AccountProfileKeyPairManager	net.minecraft.client.multiplayer.AccountProfileKeyPairManager
AcquirePoi	net.minecraft.world.entity.ai.behavior.AcquirePoi
AcquirePoi$JitteredLinearRetry	net.minecraft.world.entity.ai.behavior.AcquirePoi$JitteredLinearRetry
Action	net.minecraft.server.dialog.action.Action
Action$ValueGetter	net.minecraft.server.dialog.action.Action$ValueGetter
Action$ValueGetter$1	net.minecraft.server.dialog.action.Action$ValueGetter$1
Action$ValueGetter$2	net.minecraft.server.dialog.action.Action$ValueGetter$2
ActionButton	net.minecraft.server.dialog.ActionButton
ActionTypes	net.minecraft.server.dialog.action.ActionTypes
ActiveArea	net.minecraft.client.gui.font.ActiveArea
ActiveMetricsRecorder	net.minecraft.util.profiling.metrics.profiling.ActiveMetricsRecorder
ActiveProfiler	net.minecraft.util.profiling.ActiveProfiler
ActiveProfiler$PathEntry	net.minecraft.util.profiling.ActiveProfiler$PathEntry
ActiveTextCollector	net.minecraft.client.gui.ActiveTextCollector
ActiveTextCollector$1	net.minecraft.client.gui.ActiveTextCollector$1
ActiveTextCollector$ClickableStyleFinder	net.minecraft.client.gui.ActiveTextCollector$ClickableStyleFinder
ActiveTextCollector$Parameters	net.minecraft.client.gui.ActiveTextCollector$Parameters
